域名	解析IP	开放端口	WEB服务器	网站状态
a.baidu.com	117.185.16.211,111.13.82.66	-	-	-
ab.baidu.com	123.125.142.73	-	-	-
b.baidu.com	111.13.100.160,112.34.111.122,112.34.111.121	-	-	-
abc.baidu.com	111.13.100.92,111.13.100.91	-	-	-
bc.baidu.com	10.23.250.192	-	-	-
bh.baidu.com	10.38.19.40,10.36.155.42,10.36.160.22	-	-	-
cha.baidu.com	111.202.114.187	-	-	-
cc.baidu.com	10.36.253.83,10.26.7.113	-	-	-
d0.baidu.com	117.185.17.57	-	-	-
d.baidu.com	111.13.101.208	-	-	-
e.baidu.com	180.76.138.9	-	-	-
dq.baidu.com	112.45.121.37	-	-	-
er.baidu.com	10.58.182.14	-	-	-
g.baidu.com	180.76.146.58	-	-	-
f.baidu.com	112.34.111.246	-	-	-
gps.baidu.com	10.242.116.21	-	-	-
h.baidu.com	10.240.31.12	-	-	-
i.baidu.com	61.135.185.175	-	-	-
j.baidu.com	111.13.100.214	-	-	-
jj.baidu.com	10.36.7.47	-	-	-
key.baidu.com	10.99.36.20	-	-	-
m.baidu.com	183.232.231.31,183.232.231.30	-	-	-
lv.baidu.com	111.13.105.40	-	-	-
l.baidu.com	111.13.100.240	-	-	-
la.baidu.com	10.83.128.238	-	-	-
o.baidu.com	10.57.13.104	-	-	-
op.baidu.com	111.13.100.150	-	-	-
p.baidu.com	112.34.111.123	-	-	-
ss.baidu.com	183.232.232.48	-	-	-
r.baidu.com	180.149.131.33	-	-	-
u.baidu.com	112.34.111.153	-	-	-
t.baidu.com	117.185.16.247	-	-	-
v.baidu.com	112.34.111.111,111.13.100.125	-	-	-
user.baidu.com	10.242.113.33	-	-	-
vv.baidu.com	183.232.231.192,111.13.105.42,117.185.17.188	-	-	-
w.baidu.com	111.13.101.208	-	-	-
wp.baidu.com	10.26.3.173	-	-	-
y.baidu.com	180.76.141.217,180.76.183.17	-	-	-
x.baidu.com	180.76.177.109	-	-	-
yy.baidu.com	117.185.17.222	-	-	-
z.baidu.com	111.13.100.13	-	-	-
zz.baidu.com	123.125.115.62	-	-	-
0.baidu.com	111.13.100.240	-	-	-
11.baidu.com	111.13.101.29	-	-	-
1.baidu.com	111.13.101.56	-	-	-
2010.baidu.com	180.149.131.33	-	-	-
2013.baidu.com	180.149.131.33	-	-	-
www.baidu.com	111.13.100.91,111.13.100.92	-	-	-
2012.baidu.com	111.13.105.118,112.34.111.125,117.185.17.208	-	-	-
2014.baidu.com	112.34.111.125,111.13.105.118,117.185.17.208	-	-	-
ww.baidu.com	111.13.101.208	-	-	-
www2.baidu.com	112.34.111.153	-	-	-
www1.baidu.com	111.13.100.91,111.13.100.92	-	-	-
www5.baidu.com	119.75.217.56,119.75.218.77	-	-	-
wap.baidu.com	111.13.82.71,111.13.82.70	-	-	-
help.baidu.com	117.185.16.230,117.185.16.213,112.80.255.43,180.97.33.42,180.97.36.81,180.149.144.165,180.149.144.166,202.106.2.77,202.106.2.78,112.34.111.18,112.34.111.183,112.80.255.39	-	-	-
cms.baidu.com	10.26.7.93	-	-	-
system.baidu.com	10.26.109.19	-	-	-
email.baidu.com	61.135.165.119	-	-	-
demo.baidu.com	10.73.191.38	-	-	-
version.baidu.com	10.42.4.229,10.46.11.30	-	-	-
news.baidu.com	112.34.111.125,111.13.105.118	-	-	-
apis.baidu.com	180.149.144.74	-	-	-
img.baidu.com	111.13.101.73	-	-	-
api.baidu.com	111.13.100.122	-	-	-
mini.baidu.com	111.13.100.240	-	-	-
ai.baidu.com	111.13.105.66	-	-	-
android.baidu.com	123.125.114.208	-	-	-
ios.baidu.com	123.125.114.208	-	-	-
map.baidu.com	183.232.231.134	-	-	-
apk.baidu.com	123.125.114.208	-	-	-
app.baidu.com	112.34.111.126	-	-	-
developer.baidu.com	117.185.16.64,112.34.111.60,183.232.232.74	-	-	-
as.baidu.com	112.34.111.126	-	-	-
book.baidu.com	111.13.108.110	-	-	-
note.baidu.com	112.34.111.108	-	-	-
erp.baidu.com	10.42.7.18	-	-	-
editor.baidu.com	117.185.16.194	-	-	-
feed.baidu.com	183.232.231.30,183.232.231.31	-	-	-
rss.baidu.com	115.239.211.32	-	-	-
feedback.baidu.com	180.149.131.33	-	-	-
page.baidu.com	111.13.100.197	-	-	-
union.baidu.com	111.13.100.221	-	-	-
tousu.baidu.com	117.185.16.213,117.185.16.230,180.97.33.42,180.97.36.81,180.149.144.165,180.149.144.166,202.106.2.77,202.106.2.78,112.34.111.18,112.34.111.183,112.80.255.39,112.80.255.43	-	-	-
static.baidu.com	111.13.101.73	-	-	-
reader.baidu.com	180.149.131.33	-	-	-
bae.baidu.com	10.36.7.34,10.26.7.36	-	-	-
tuangou.baidu.com	111.13.100.93	-	-	-
tuan.baidu.com	111.13.100.93	-	-	-
br.baidu.com	111.13.101.208,123.125.114.144,180.149.132.47,220.181.57.217	-	-	-
baoku.baidu.com	111.202.114.114	-	-	-
ht.baidu.com	117.185.16.205	-	-	-
hot.baidu.com	111.13.100.240	-	-	-
999.baidu.com	180.149.131.33	-	-	-
vs.baidu.com	111.13.100.18	-	-	-
team.baidu.com	10.99.72.22	-	-	-
bbs.baidu.com	111.13.101.14	-	-	-
linux.baidu.com	10.99.31.43	-	-	-
house.baidu.com	180.97.34.232	-	-	-
forum.baidu.com	10.26.109.19	-	-	-
apple.baidu.com	180.149.131.33	-	-	-
database.baidu.com	10.26.109.19	-	-	-
docs.baidu.com	10.99.57.42	-	-	-
crm.baidu.com	10.65.3.178	-	-	-
sea.baidu.com	10.62.141.21	-	-	-
game.baidu.com	111.13.101.51	-	-	-
mi.baidu.com	112.34.111.88	-	-	-
rom.baidu.com	180.149.131.33	-	-	-
mobile.baidu.com	112.34.111.126	-	-	-
hr.baidu.com	112.34.111.181	-	-	-
ip.baidu.com	10.92.143.21,10.92.143.22,10.42.61.42,10.42.94.12	-	-	-
movie.baidu.com	112.34.111.111,111.13.100.125	-	-	-
reports.baidu.com	180.149.133.120,180.76.110.138,111.202.114.92	-	-	-
report.baidu.com	10.94.51.24	-	-	-
red.baidu.com	10.91.160.44,10.26.3.240,10.36.4.130,10.42.4.86	-	-	-
log.baidu.com	10.26.39.14	-	-	-
logs.baidu.com	10.65.43.129	-	-	-
name.baidu.com	10.95.23.39	-	-	-
root.baidu.com	180.149.131.33	-	-	-
win.baidu.com	10.65.19.212	-	-	-
msg.baidu.com	112.34.111.63	-	-	-
offer.baidu.com	183.232.232.54,202.106.2.51,115.239.211.31	-	-	-
open.baidu.com	111.13.100.18	-	-	-
fox.baidu.com	10.94.52.44	-	-	-
message.baidu.com	10.40.8.14	-	-	-
my.baidu.com	111.13.100.240	-	-	-
zhaopin.baidu.com	111.13.100.18	-	-	-
openapi.baidu.com	111.13.105.88	-	-	-
front.baidu.com	111.13.105.54	-	-	-
ipv6.baidu.com	111.13.101.208,123.125.114.144,220.181.57.216,220.181.57.217	-	-	-
passport.baidu.com	112.34.111.63	-	-	-
qiao.baidu.com	117.185.16.177,112.34.111.150	-	-	-
vip.baidu.com	111.13.101.157	-	-	-
post.baidu.com	112.34.111.194	-	-	-
pc.baidu.com	180.149.131.33	-	-	-
alpha.baidu.com	111.206.223.252	-	-	-
js.baidu.com	202.106.2.53	-	-	-
cdn.baidu.com	10.36.3.156	-	-	-
us.baidu.com	172.19.44.248	-	-	-
